question,answer
What are schistosomes?,"Schistosomes are worms. There are 2 major forms of schistosomiasis – intestinal and urogenital – caused by 5 main species of blood fluke. Table: Parasite species and geographical distribution of schistosomiasis SpeciesGeographical distributionIntestinal
 schistosomiasisSchistosoma mansoniAfrica, the Middle East, the Caribbean, Brazil, Venezuela and Suriname
             Schistosoma japonicumChina, Indonesia, the Philippines Schistosoma mekongiSeveral districts of Cambodia and the Lao People’s Democratic Republic  Schistosoma guineensis
 and related S. intercalatumRain forest areas of central AfricaUrogenital schistosomiasisSchistosoma haematobiumAfrica, the Middle East, Corsica (France)"
How do I get schistososmiasis?,"A person infected with urinary schistosomaisis will have parasite eggs in their urine.A person infected with intestinal schistosomaisis will have parasite eggs in their faeces.In areas where there is no proper latrine system, freshwater 
sources around the village become contaminated with faeces or urine 
containing the worm eggs.In the water the eggs hatch and then they must find a particular type of snail.The snail acts like a mini photocopier and releases thousands of infective larvae.When people come in contact with the water, these larvae penetrate the skin.Children who spend a lot of time playing and swimming in the 
water are particularly vulnerable, as are fishermen and women carrying 
out household chores like washing."
How do I avoid getting schistosomiasis?,"Avoid swimming or other contact with fresh water lakes, rivers, or 
irrigation channels in areas where schistosomiasis is known to be 
transmitted (see Geographical distribution)."
What are the symptoms of schistosomiasis?,"Urinary Schistosomaisis: If you have been in an 
area where urinary schistosomiasis is transmitted, and then you see 
blood in your urine, treat for schistosomiasis first of all.Intestinal Schistosomaisis: The symptoms for 
intestinal schistosomiasis are much more nonspecific and can be caused 
by other diseases as well: they include diarrhoea, lethargy and 
tiredness, abdominal pain or discomfort, and blood in the faeces."
"If I think I have schistosomiasis, how do I treat it?","There is only one drug for the treatment of schistosomiasis, which is called praziquantel.The dose is calculated according to your weight (see table below).Children under 5 years are unlikely to have much contact with 
water and are therefore unlikely to be heavily infected. From the age of
 about 6 years onwards, children learn to swim and play in water and as a
 result are much more at risk.   Table: Drug to treat schistosomiasisBody weight (Kg)N°. of praziquantel tablets  (600mg tablet) 10.0–14.9 1 15.0–22.4 1 1/222.5–29.9230.0–37.42 1/237.5–44.9345.0–59.9460.0–75.05"
"If I am pregnant, is it safe to take the drugs to treat schistosomiasis?","Yes, the drug is extremely safe and WHO recommends that if you 
have schistosomiasis, you should be treated, even if you are pregnant.As a general precaution, WHO recommendations state that all drugs should be taken after the first trimester."
1. Can I submit a full project proposal through WHO?,"Project proposals are submitted through a GCF Accredited Entity (AE). WHO is not yet a GCF AE and as such full project proposals cannot be submitted through WHO.WHO can assist with the development of full project proposals for submission to GCF and this activity can be funded through the Readiness programme. WHO can also be engaged to implement activities as part of a GCF-funded project, however, an AE is responsible for project proposal submission and then managing the overall project.The full list of GCF accredited entities are on the GCF website. Learn more about the support WHO can offer through the GCF Readiness Programme here."
2. What if I am unable to find an appropriate Accredited Entity to submit a health-related GCF project proposal?,The GCF is available to assist if you are unable to find an Accredited Entitiy (AE). The Nationally Designated Authority (NDA) should contact their regional GCF focal points. (Please see contact details below).
3. What are the key impacts to be demonstrated for an adaptation project proposal?,"The GCF documents, Initial Investment framework: activity-specific subcriteria and indicative assessment factors and Mitigation and Adaptation performance measurement frameworks, provides some guidance and examples of assessment factors for both mitigation and adaptation projects."
4. Where can I find examples of successful GCF project proposals?,All successful project proposals are available on the GCF website. Other background and guidance documents can also be found on these pages.
5. What are some key tips for developing a GCF project proposal for health?,"Ensure the NDA is engaged and supportive from the beginningShare the draft concept note early with the GCF and WHODevelop a clear theory of change for your projectGCF Project Preparation Facility (PPF) could provide financial support to Accredited Entities to develop a Funding Proposal from project Concept Note;Technical assistance is available to assist Direct Access Entities and NDAs for strengthening Concept Notes and PPF applications.  The technical assistance is not deployed however, to write the PPF proposal or the CN.  The technical assistance is there to provide guidance to help the NDA team or the DAE to write their own concept or PPF proposal."
1. What can WHO do as a GCF Readiness Delivery Partner?,"Readiness Delivery Partners provide services such as: development of readiness request proposals; implementation and supervision; financial management; progress reporting; and project completion and evaluation.WHO can to support countries in developing readiness proposals and implementing readiness activities for health such as conducting a health vulnerability and adaptation assessment, developing the health component of the national adaptation plan (H-NAP), assessing the health co-benefits of mitigation, the development of a full project proposal or any other health priority issues as agreed with the NDA.WHO can assist with the development of full project proposals for submission to GCF. WHO can also implement activities as part of a GCF-funded project, however, an Accredited Entity (AE) can only be responsible for project proposal submission and then managing the overall project. WHO is currently not an AE of the GCF."
2. What is the funding cap for WHO as a Readiness Delivery Partner?,"Funding caps are applied depending on the results of the Financial Management Capacity Assessment (FMCA) where the track record of the delivery partner is analyzed. Currently, there is no funding cap for WHO as a Delivery Partner, so for any project for which WHO is a delivery partner the funding caps for that country will apply."
3. Who needs to submit the GCF readiness proposal?,"The readiness proposal must be submitted by the country’s National Designated Authority (NDA) and as such, it is very important to have the support of the NDA at an early stage. It is equally important to ensure that the proposal is developed in partnership with the Ministry of Health (or the equivalent government department) and other relevant government counterparts.For proposals in which WHO is the delivery partner, WHO HQ is the appropriate contact point for section 1.4 of the readiness template. The information to be provided is as follows:World Health OrganizationMs Elena Villalobos PratsTechnical Officer, Health and Climate Change Unit+41 22 791 2465"
"4. If WHO HQ is the readiness delivery partner, who will receive the funds?","Upon approval of a readiness proposal, WHO HQ will receive funds directly from the Green Climate Fund. These funds can then be transferred to the WHO country office, depending on the implementation plan of the proposal and approval by the GCF. Funds are not transferred to the country's government directly."
5. Who is responsible for the implementation of approved readiness activities?,"The role of a delivery partner of any approved readiness activities is the implementation of the said activities. Hence, if WHO is the selected and approved readiness delivery partner for that specific proposal, WHO will be responsible for ensuring the activities are implemented as outlined in the proposal.  However, to ensure effective delivery of proposal activities it is crucial that the proposal is developed in partnership with the Ministry of Health (or equivalent Government department) and the NDA."
6. What are the first steps in developing a GCF readiness proposal?,"As a starting point for GCF readiness proposal development, please consider the following steps (these steps are provided as a suggestion, the actual process will depend on the country context):Identify the needs of the health sector in relation to climate change. If your country’s action plans have been already established, such plans could serve a good reference point;Review the with the GCF Readiness and Preparatory Support Guidebook to match your country needs with eligible activities for the Readiness Programme;In partnership with the Ministry of Health (MoH) formulate the needs and categorize them into one or more of the five relevant funding objectives listed above;With the MoH, inform your NDA that WHO is now a delivery partner of Readiness Programme and communicate the identified needs to the NDA;Undertake a trilateral discussion between NDA, WHO and GCF Secretariat (Regional Officers in DCP) on the potential proposal. This communication should be ongoing throughout the proposal development process;Determine the NDA’s interest in the proposed activities and, with the MoH, discuss the opportunity for WHO to access readiness funds could be accessed as a delivery partner;Check with the NDA the availability of readiness funds under the two funding options, considering other readiness proposals that have been submitted or are under development;Complete the required documentation (listed in the readiness proposal template) in partnership with MoH and any other partners and provide to the NDA for submission."
7. What are the deadlines for submitting a readiness proposal?,"For access to the USD 1 million per year (ie. all non-NAP or H-NAP proposals) there are submission cycles with the following deadlines:2nd submission cycle deadline: 31 March 20203rd submission cycle deadline: 30 June 20204th submission cycle      deadline: 31 August 2020     The submission cycles are only indicative timelines for GCF and the approval of the proposal is subject to the quality of submission. The final 4th submission cycle deadline is the final deadline to submit proposals to be eligible to be counted against the 2020 Readiness cap. The Secretariat will make every effort to process, review, and approve Readiness proposals submitted by the 31 August deadline to fall under 2020 Readiness caps. Proposals will be counted against the annual cap for 2020 or 2021 according to the date they are approved, not the date they are submitted."
8. Does the funding for a GCF readiness proposal count towards the funding limit of the submission year or the approval year?,"The funding for a readiness proposal counts towards the funding limit of the year the proposal is approved. For example, if a country submits a readiness proposal in June 2020 but it is not approved until January 2021, the funding will be part of the USD 1 million cap for 2021."
9. Can you engage multiple delivery partners for a readiness project?,"No, there must be a lead delivery partner that is responsible for the project. However, where further expertise and/or services are required, other partners may be engaged through established, transparent procurement processes."
