,question,answer
0,How are COVID-19 and influenza viruses similar?,"Firstly, COVID-19 and influenza viruses have a similar disease presentation. That is, they both cause respiratory disease, which presents as a wide range of illness from asymptomatic or mild through to severe disease and death.  Secondly, both viruses are transmitted by contact, droplets and fomites. As a result, the same public health measures, such as hand hygiene and good respiratory etiquette (coughing into your elbow or into a tissue and immediately disposing of the tissue), are important actions all can take to prevent infection."
1,How are COVID-19 and influenza viruses different?,"The speed of transmission is an important point of difference between the two viruses. Influenza has a shorter median incubation period (the time from infection to appearance of symptoms) and a shorter serial interval (the time between successive cases) than COVID-19 virus. The serial interval for COVID-19 virus is estimated to be 5-6 days, while for influenza virus, the serial interval is 3 days. This means that influenza can spread faster than COVID-19.   Further, transmission in the first 3-5 days of illness, or potentially pre-symptomatic transmission –transmission of the virus before the appearance of symptoms – is a major driver of transmission for influenza. In contrast, while we are learning that there are people who can shed COVID-19 virus 24-48 hours prior to symptom onset, at present, this does not appear to be a major driver of transmission.   The reproductive number – the number of secondary infections generated from one infected individual – is understood to be between 2 and 2.5 for COVID-19 virus, higher than for influenza. However, estimates for both COVID-19 and influenza viruses are very context and time-specific, making direct comparisons more difficult.   Children are important drivers of influenza virus transmission in the community. For COVID-19 virus, initial data indicates that children are less affected than adults and that clinical attack rates in the 0-19 age group are low. Further preliminary data from household transmission studies in China suggest that children are infected from adults, rather than vice versa.  While the range of symptoms for the two viruses is similar, the fraction with severe disease appears to be different. For COVID-19, data to date suggest that 80% of infections are mild or asymptomatic, 15% are severe infection, requiring oxygen and 5% are critical infections, requiring ventilation. These fractions of severe and critical infection would be higher than what is observed for influenza infection. Those most at risk for severe influenza infection are children, pregnant women, elderly, those with underlying chronic medical conditions and those who are immunosuppressed. For COVID-19, our current understanding is that older age and underlying conditions increase the risk for severe infection.  Mortality for COVID-19 appears higher than for influenza, especially seasonal influenza. While the true mortality of COVID-19 will take some time to fully understand, the data we have so far indicate that the crude mortality ratio (the number of reported deaths divided by the reported cases) is between 3-4%, the infection mortality rate (the number of reported deaths divided by the number of infections) will be lower. For seasonal influenza, mortality is usually well below 0.1%. However, mortality is to a large extent determined by access to and quality of health care."
2,What medical interventions are available for COVID-19 and influenza viruses?,"While there are a number of therapeutics currently in clinical trials in China and more than 20 vaccines in development for COVID-19, there are currently no licensed vaccines or therapeutics for COVID-19.  In contrast, antivirals and vaccines available for influenza. While the influenza vaccine is not effective against COVID-19 virus, it is highly recommended to get vaccinated each year to prevent influenza infection."
3,How do we know that a vaccine is safe?,"The most commonly used vaccines we have today have been in use for decades, with millions of people receiving them safely every year. In addition, there are several new vaccines under development. If approved, these will help prevent more life-threatening diseases – such as COVID-19, Zika or Nipah viruses - or improve the effectiveness of existing vaccines. As with all medicines, every vaccine needs to go through extensive and rigorous testing before it can be introduced in a country. Once they are in use, they must be continuously monitored to make sure they are safe for the people who receive them."
4,Are pregnant women at higher risk from COVID-19?,"Research is currently underway to understand the impacts of COVID 19 infection on pregnant women. Data are limited, but at present there is no evidence that they are at higher risk of severe illness than the general population. However, due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19, and report possible symptoms (including fever, cough or difficulty breathing) to their healthcare provider.WHO will continue to review and update its information and advice as more evidence becomes available."
5,I’m pregnant. How can I protect myself against COVID-19?,"Pregnant women should take the same precautions to avoid COVID-19 infection as other people. You can help protect yourself by:Washing your hands frequently with an alcohol-based hand rub or soap and water.Keeping space between yourselves and others and avoiding crowded spaces.Avoiding touching your eyes, nose and mouth.Practicing respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility, and follow the directions of your local health authority. Pregnant women and women who have recently delivered – including those affected by COVID-19 - should attend their routine care appointments."
6,Should pregnant women be tested for COVID-19?,"Testing protocols and eligibility vary depending on where you live. However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care."
7,Can COVID-19 be passed from a woman to her unborn or newborn baby?,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her foetus or baby during pregnancy or delivery. To date, the virus has not been found in samples of amniotic fluid or breastmilk."
8,What care should be available during pregnancy and childbirth?,"All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. This includes antenatal, newborn, postnatal, intrapartum and mental health care.A safe and positive childbirth experience includes:Being treated with respect and dignity;Having a companion of choice present during delivery;Clear communication by maternity staff;Appropriate pain relief strategies:Mobility in labour where possible, and birth position of choice.If COVID-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene, and appropriate use of protective clothing like gloves, gown and medical mask."
9,Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?,No. WHO advice is that caesarean sections should only be performed when medically justified. The mode of birth should be individualized and based on a woman’s preferences alongside obstetric indications.
10,Can women with COVID-19 breastfeed?,"Yes. Women with COVID-19 can breastfeed if they wish to do so. They should:Practice respiratory hygiene during feeding, wearing a mask where available; Wash hands before and after touching the baby;Routinely clean and disinfect surfaces they have touched."
11,Can I touch and hold my newborn baby if I have COVID-19?,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. You should be supported toBreastfeed safely, with good respiratory hygiene; Hold your      newborn skin-to-skin, and Share a room      with your babyYou should wash your hands before and after touching your baby, and keep all surfaces clean."
12,I have COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,"If you are too unwell to breastfeed your baby due to COVID-19 or other complications, you should be supported to safely provide your baby with breastmilk in a way possible, available, and acceptable to you. This could include:Expressing milk;Relactation;Donor human milk."
13,1. What is Middle East respiratory syndrome (MERS)?,"Middle East respiratory syndrome (MERS) is a viral respiratory illness caused by a coronavirus (Middle East respiratory syndrome coronavirus, or MERS‐CoV) that was first identified in Saudi Arabia in 2012. Coronaviruses are a large family of viruses that can cause diseases in humans, ranging from the common cold to Severe Acute Respiratory Syndrome (SARS)."
14,What is Middle East respiratory syndrome (MERS)?,"Middle East respiratory syndrome (MERS) is a viral respiratory illness caused by a coronavirus (Middle East respiratory syndrome coronavirus, or MERS‐CoV) that was first identified in Saudi Arabia in 2012. Coronaviruses are a large family of viruses that can cause diseases in humans, ranging from the common cold to Severe Acute Respiratory Syndrome (SARS)."
