,question1,question2,is_duplicate,kw
0,"I have a windows 10 original version. If it gets attacked by a virus, I may format it. Can I get it back without paying for software again?",I have re-installed Windows XP - using the original install disk - and in that process I have lost my sound card driver. I can´t seem to get it back. Any ideas how to get a new installed?,0,['virus']
1,I fell in love with my best friend and tell her about it but she didn't replied?,Lord Shiva smoking wallpapers?,0,['hiv']
2,When did they decide that being transgender was not a mental disease?,Aman Goel how was your JEE preparation during Class 11?,0,['disease']
3,What country has the best healthcare system in the world?,What is the best country to work and to have cheap healthcare?,0,['health']
4,Is there any iOS app that is similar to MS Paint?,Which image editing Android app has layers and masks? (Similar to Photoshop for desktop and Filterstorm for iOS)?,0,['mask']
5,Why does peanut exposure help prevent peanut allergies?,Does keeping children away from allergens like peanuts actually increase their chances of developing an allergy?,0,['prevent']
6,Which salt is used in washing soap?,Which anti-caking agent is easily available to use with common salt to prevent wetness for using in a sprinkler?,0,['prevent']
7,Will the recent violence directed at protesters at Clinton rallies be covered in a similar fashion as the violence that occurred at Trump rallies?,Recently there was a shooting at a high school close to me. What do you guys think is the best way to prevent violence in public areas?,0,['prevent']
8,What does a typical day look like in a 30-day inpatient drug rehab?,Drug Rehabilitation: What is it like to attend rehab?,0,['patient']
9,Which is a suitable inpatient drug and alcohol rehab center near Warren County IA?,Which is a suitable inpatient drug and alcohol rehab center near Marshall County IA?,0,['patient']
10,Should papaya be eaten at night?,What are some health benefits of eating papaya?,0,['health']
11,Why did Hawaii not become a part of the British Empire?,"Was Hawaiʻi better under British rule (or protection, as it was called), or was life better for Hawaiian locals after the annexation?",0,['protect']
12,What's the Perfect age for presidents and politicians in your opinion?,"Kaspersky 2017 version are coming in these days, but my version is 2016.what is the different between 2016 gurd and 2017 virus gurd?",0,['virus']
13,How does identity theft work?,How does identity theft protection work?,0,['protect']
14,What are the best hair oils in India for preventing hair loss?,What's the best method to avoid hair loss?,0,['prevent']
15,"How can I loose weight as a 21 year old Bi-Gender-Queer 16 Seater Apache Helicopter, without resorting to a new carbon fibre body?",I am a 21-year-old with a fat body. How can I motivate myself to exercise and live a better and healthy life?,0,['health']
16,"How does Google earn from android? Or any open source products, for that matter?","How do I protect my app from my app developers, that they're not stealing the code from somewhere else, or using any open source code without license?",0,['protect']
17,Quick heal (@! @) 1800@243@0019 Quick heal Antivirus Tech Support phone Number?,Talk @^? ^1800@*439@*2178 #Get Quick heal Tech Support Quick heal Antivirus Tech Support Quick heal Tech Support Phone Number?,0,['virus']
18,Do I have to have six pack abs to be healthy?,Can I have six pack abs?,0,['health']
19,How does having the flu affect taste buds?,Is soda bad for taste buds?,0,['flu ']
20,Which is a suitable inpatient drug and alcohol rehab center near Gem County ID?,Which is a suitable inpatient drug and alcohol rehab center near Valley County ID?,0,['patient']
21,How does daily masturbation effects?,How harmful or unhealthy is masturbation?,0,['health']
22,How do I ship In-N-Out across country?,What is the easiest way to ship medicines across countries?,0,['medicine']
23,What universities does Webmd Health recruit new grads from? What majors are they looking for?,What universities does Radius Health recruit new grads from? What majors are they looking for?,0,['health']
24,Can impulsiveness be a symptom of depression?,What are the signs/symptoms of depression?,0,['symptom']
25,"Why are Electrical Grid substations and offices in New Delhi protected by the Official Secrets Act, which carries the death penalty?",How do I connect a Sony TV to WiFi?,0,['protect']
26,Will sabotted (rifle) rounds reliably prevent/defeat ballistic groove matching?,How does a psychopath’s grandiosity persist in the face of defeat?,0,['prevent']
27,Can you develop mental illness in your 40's?,Is being transgender considered a mental illness? How do we know?,0,['illness']
28,What is the nursing care plan for jaundice patients?,What is the nursing care plan for hepatic encephalopathy?,0,['patient']
29,Sexually Transmitted Diseases (STDs): If my girlfriend has spotty blood period from her birth control and i am having intercourse with her and my dick hole head is against her bloody vagina am I at risk?,"If a girl has given oral sex to 9 guys before me, how high is the risk for me to get an STI from receiving head from her?",0,['disease']
30,Can one autoimmune disorder leads to other autoimmune disease? (because my mom suffers from rheumatoid arthritis and dry eyes),I am planning to intern in London over the summer. I have been accepted into the program through my college (Ohio State). What can I expect?,0,['disease']
31,We need donation for blood cancer treatment. Fundraising page like www.ketto.org/savemyuncle but it's not helping much. What are some other good ways?,Is donating blood good for health?,0,"['health', 'treatment']"
32,1800^~^251^~~^4919@! ^! @ ESET Antivirus Tech Support Number?,#@#? ~! ~ 1800^~^251^~~^4919@! ^! @ COMODO Antivirus Tech Support Number?,0,['virus']
33,What is the best way to prevent hairloss?,How do I stop hairloss?,0,['prevent']
34,How do I safeguard PlayStation 3 from voltage fluctuation in India? Are surge protectors effective to tackle the problem or should the surge protector be connected to a voltage stabilizer for additional protection? Would a power outage affect PS3 when it's on?,What are precautions I can take to reduce chances of a surge without surge protectors?,0,['protect']
35,"What happens when a virus, bacterium etc interacts with a cancer cell?",Could a virus infect a virus/other harmful forms like cancer cells and if so what happens?,0,"['virus', 'infect']"
36,Wood: What is a safe stain for raised garden beds where I'll grow organic vegetables?,Can I use boiled linseed oil to protect the wood on my raised bed vegetable garden?,0,['protect']
37,What are the good and bad sides of Japan?,How bad is the mental illness stigma in Japan?,0,['illness']
38,"What is the cheapest, tastiest, and healthiest dish for a university student?",What is the tastiest dish?,0,['health']
39,How can we end the stigma of mental illness?,What is the impact of stigma on those living with mental illness?,0,['illness']
40,"What are common food costs in the assisted living/retirement living/nursing home industry? For instance, is there a common rule of thumb for food cost per resident? Specifically in the midwest but elsewhere in the U.S. appreciated as well.",What does it feel like as a middle age man living in an elderly nursing home recuperating from an illness?,0,['illness']
41,Which is a suitable inpatient drug and alcohol rehab center in Coosa County AL?,Which is a suitable inpatient drug and alcohol rehab center in Mobile County AL?,0,['patient']
42,What is the meaning of few activated lymphocytes seen in blood? Is it a good sign of health?,Is ghee good for health?,0,['health']
43,Is the Dow Jones a good indicator for the health of the US economy?,How big is the US economy?,0,['health']
44,What is a suitable inpatient drug and alcohol rehab center in Kane County IL?,Which is a suitable inpatient drug and alcohol rehab center in Adams County IL?,0,['patient']
45,Barazilian blowout or keratin treatment is better?,Why is it necessary for RBI to maintain a wholesome foreign exchange reserve?,0,['treatment']
