,question1,question2,is_duplicate,kw
0,What do I do to care for a daith piercing infection?,"For a daith piercing, should you turn the earring while it’s healing?",0,['infect']
1,"If you were wearing a bullet proof mask and got shot, how much would it hurt?",Why do some cops wear their bullet proof vest on the outside of their shirt?,0,['mask']
2,Is Pulse Wave Velocity an effective measure of heart disease risk?,How are unit of velocity measured in physics?,0,['disease']
3,Which is a suitable inpatient drug and alcohol rehab center in Adams County CO?,What is a suitable inpatient drug and alcohol rehab center in Washington County CO?,0,['patient']
4,Are are any options available for healthcare of immigrant parents not eligible for medicare and employer coverage?,News: Are there any good Quora blogs or users to follow for coverage of international news and current events?,0,['health']
5,Is there an antivirus for the iPhone 6 that will actually scan for viruses?,Why do antiviruses keep on killing viruses? Why didn't virus programmers create a virus that scans for antiviruses and deletes them before being deleted while it can also duplicate itself millions of times?,0,['virus']
6,Will a breathing treatment help a cough?,How can I help someone that is unconscious but still breathing?,0,['treatment']
7,How can I reduce my hair fall and dry hair?,How can I prevent hair fall?,0,['prevent']
8,Which is the best field in medical regarding to the study and practically?,What is the best field to study at the Stanford School of Medicine?,0,['medicine']
9,Is it realistic that all muslims can be united into a single state?,How bad is edible oil for health?,0,['health']
10,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0,['prevent']
11,What herbal medicine for hyper tension that not affects liver?,"I feel so heartbroken, he doesn’t want to talk, How can I possibly move on?",0,['medicine']
12,Who is interested in getting alternative medicine?,Are jobs in analytics a good alternative for a student of EEE in an NIT who is not much interested in core and IT?,0,['medicine']
13,What are some good tips to study for the United Nation's Young Professionals Program (YPP) exam?,How can I study for the CPHQ Exam (Certified Professional in Healthcare Quality Exam)?,0,['health']
14,"On average, for how long can I wear 3M N95 face mask before it needs to be disposed?",Expatriate Life in China: Could wearing a 3M N95 face mask create mouth ulcers?,0,['mask']
15,Can we use helium balloons under water?,Healthwise is it better if I put hempseeds or hempprotein in my porridge?,0,['health']
16,Is it healthy to drink a cup of coffee everyday? Or should I abstain from coffee once in a while?,Is drinking 2 cups of coffee everyday healthy?,0,['health']
17,How can we remove virus manually from a PC?,What is the best anti-virus software? Why?,0,['virus']
18,Why are the main characters in One Piece called villains?,Is it possible for psychopath to take off their mask and become cruel when the people around them are useless?,0,['mask']
19,"If you're an atheist, does the thought of God being real and you possibly going to hell scare you?","If there is a small possibility that gods exist, why didn't atheists take this possibility very seriously to prevent burning in hell?",0,['prevent']
20,Who is Lord Shiva?,Who is Lord Dattatreya?,0,['hiv']
21,What can happen if I get two flu shots by mistake?,Can the flu shot increase the risk of getting Alzheimer's?,0,['flu ']
22,What is a good inpatient drug and alcohol rehab center in Person County NC?,What is a good inpatient drug and alcohol rehab center in Lincoln County NC?,0,['patient']
23,Is it better for health to drink a little bit of alcohol everyday or to get really drunk once or twice a month and not drink on a daily basis?,How do I really know if I'm an alcoholic or if I just like to drink everyday?,0,['health']
24,"My desk at work is next to a computer data room, would the radiation do harm to my health?",What are some good websites for wildlife quizzes?,0,['health']
25,I'm 10 days late today and I took a test this morning but it came back negative. I've had some pregnancy symptoms. Is this in my head or could I still be pregnant?,"I'm 11 days late on my period and my pregnancy tests have been negative, what could be the cause of this?",0,['symptom']
26,What is the experience of being in a psychiatric hospital like?,"Are there other hospitals in Singapore with private psychiatric wards? If so, how do they compare to the state-run Institute Of Mental Health?",0,['health']
