base_model,batch_size,epoch,learning_rate,loss
bert-base-nli-mean-tokens,16,1,2.00E-05,0.6659
bert-base-nli-mean-tokens,32,1,2.00E-05,0.6301
bert-base-nli-mean-tokens,32,2,2.00E-05,0.6838
bert-base-nli-mean-tokens,16,3,2.00E-05,0.7145
bert-base-nli-mean-tokens,16,3,2.00E-07,0.5005
bert-base-nli-mean-tokens,16,3,2.00E-09,0.4868
bert-base-nli-mean-tokens,16,3,2.00E-10,0.4868
bert-base-nli-mean-tokens,16,3,2.00E-15,0.4868
bert-base-nli-mean-tokens,32,3,2.00E-05,0.7002
bert-base-nli-mean-tokens,64,3,2.00E-05,0.6847
bert-base-nli-mean-tokens,16,5,2.00E-05,0.7103
bert-base-nli-mean-tokens,16,10,2.00E-05,0.721
distilbert-base-nli-stsb-mean-tokens,16,1,2.00E-05,0.6952
distilbert-base-nli-stsb-mean-tokens,32,1,2.00E-05,0.657
distilbert-base-nli-stsb-mean-tokens,32,2,2.00E-05,0.7117
distilbert-base-nli-stsb-mean-tokens,16,3,2.00E-05,0.7277
distilbert-base-nli-stsb-mean-tokens,16,3,2.00E-07,0.5356
distilbert-base-nli-stsb-mean-tokens,16,3,2.00E-09,0.5112
distilbert-base-nli-stsb-mean-tokens,16,3,2.00E-10,0.5111
distilbert-base-nli-stsb-mean-tokens,16,3,2.00E-15,0.5111
distilbert-base-nli-stsb-mean-tokens,32,3,2.00E-05,0.7208
distilbert-base-nli-stsb-mean-tokens,64,3,2.00E-05,0.7078
distilbert-base-nli-stsb-mean-tokens,16,5,2.00E-05,0.7299
distilbert-base-nli-stsb-mean-tokens,16,10,2.00E-05,0.7211
roberta-base-nli-mean-tokens,16,1,2.00E-05,0.6625
roberta-base-nli-mean-tokens,32,1,2.00E-05,0.63
roberta-base-nli-mean-tokens,32,2,2.00E-05,0.6789
roberta-base-nli-mean-tokens,16,3,2.00E-05,0.6922
roberta-base-nli-mean-tokens,16,3,2.00E-07,0.7049
roberta-base-nli-mean-tokens,16,3,2.00E-09,0.4899
roberta-base-nli-mean-tokens,32,3,2.00E-05,0.6879
roberta-base-nli-mean-tokens,64,3,2.00E-05,0.6761
roberta-base-nli-mean-tokens,16,5,2.00E-05,0.7064
roberta-base-nli-mean-tokens,16,10,2.00E-05,0.7069
