base_model,batch_size,epoch,learning_rate,loss
bert-base-nli-mean-tokens,1,1,1.00E-04,
bert-base-nli-mean-tokens,2,1,1.00E-04,
bert-base-nli-mean-tokens,4,1,1.00E-04,
bert-base-nli-mean-tokens,8,1,1.00E-04,
bert-base-nli-mean-tokens,16,1,1.00E-04,
bert-base-nli-mean-tokens,32,1,1.00E-04,
bert-base-nli-mean-tokens,1,2,1.00E-04,
bert-base-nli-mean-tokens,2,2,1.00E-04,
bert-base-nli-mean-tokens,4,2,1.00E-04,
bert-base-nli-mean-tokens,8,2,1.00E-04,
bert-base-nli-mean-tokens,16,2,1.00E-04,
bert-base-nli-mean-tokens,2,3,1.00E-04,
bert-base-nli-mean-tokens,4,3,1.00E-04,
bert-base-nli-mean-tokens,8,3,1.00E-04,
bert-base-nli-mean-tokens,16,3,1.00E-04,
bert-base-nli-mean-tokens,2,4,1.00E-04,
bert-base-nli-mean-tokens,4,4,1.00E-04,
bert-base-nli-mean-tokens,8,4,1.00E-04,
bert-base-nli-mean-tokens,16,4,1.00E-04,
bert-base-nli-mean-tokens,2,5,1.00E-04,
bert-base-nli-mean-tokens,4,5,1.00E-04,
bert-base-nli-mean-tokens,8,5,1.00E-04,
bert-base-nli-mean-tokens,16,5,1.00E-04,
bert-base-nli-mean-tokens,16,1,2.00E-05,
bert-base-nli-mean-tokens,32,1,2.00E-05,
bert-base-nli-mean-tokens,32,2,2.00E-05,
bert-base-nli-mean-tokens,16,3,2.00E-05,
bert-base-nli-mean-tokens,16,3,2.00E-07,
bert-base-nli-mean-tokens,16,3,2.00E-09,
bert-base-nli-mean-tokens,32,3,2.00E-05,
bert-base-nli-mean-tokens,64,3,2.00E-05,
bert-base-nli-mean-tokens,16,5,2.00E-05,
bert-base-nli-mean-tokens,16,10,2.00E-05,
bert-base-nli-mean-tokens,3,16,2.00E-10,
bert-base-nli-mean-tokens,3,16,2.00E-15,
distilbert-base-nli-mean-tokens,1,1,1.00E-04,
distilbert-base-nli-mean-tokens,2,1,1.00E-04,
distilbert-base-nli-mean-tokens,4,1,1.00E-04,
distilbert-base-nli-mean-tokens,8,1,1.00E-04,
distilbert-base-nli-mean-tokens,16,1,1.00E-04,
distilbert-base-nli-mean-tokens,32,1,1.00E-04,
distilbert-base-nli-mean-tokens,64,1,1.00E-04,
distilbert-base-nli-mean-tokens,1,2,1.00E-04,
distilbert-base-nli-mean-tokens,2,2,1.00E-04,
distilbert-base-nli-mean-tokens,4,2,1.00E-04,
distilbert-base-nli-mean-tokens,8,2,1.00E-04,
distilbert-base-nli-mean-tokens,16,2,1.00E-04,
distilbert-base-nli-mean-tokens,32,2,1.00E-04,
distilbert-base-nli-mean-tokens,64,2,1.00E-04,
distilbert-base-nli-mean-tokens,1,3,1.00E-04,
distilbert-base-nli-mean-tokens,2,3,1.00E-04,
distilbert-base-nli-mean-tokens,4,3,1.00E-04,
distilbert-base-nli-mean-tokens,8,3,1.00E-04,
distilbert-base-nli-mean-tokens,16,3,1.00E-04,
distilbert-base-nli-mean-tokens,32,3,1.00E-04,
distilbert-base-nli-mean-tokens,64,3,1.00E-04,
distilbert-base-nli-mean-tokens,1,4,1.00E-04,
distilbert-base-nli-mean-tokens,2,4,1.00E-04,
distilbert-base-nli-mean-tokens,4,4,1.00E-04,
distilbert-base-nli-mean-tokens,8,4,1.00E-04,
distilbert-base-nli-mean-tokens,16,4,1.00E-04,
distilbert-base-nli-mean-tokens,32,4,1.00E-04,
distilbert-base-nli-mean-tokens,64,4,1.00E-04,
distilbert-base-nli-mean-tokens,1,5,1.00E-04,
distilbert-base-nli-mean-tokens,2,5,1.00E-04,
distilbert-base-nli-mean-tokens,4,5,1.00E-04,
distilbert-base-nli-mean-tokens,8,5,1.00E-04,
distilbert-base-nli-mean-tokens,16,5,1.00E-04,
distilbert-base-nli-mean-tokens,32,5,1.00E-04,
distilbert-base-nli-mean-tokens,64,5,1.00E-04,
distilbert-base-nli-mean-tokens,1,6,1.00E-04,
distilbert-base-nli-mean-tokens,2,6,1.00E-04,
distilbert-base-nli-mean-tokens,4,6,1.00E-04,
distilbert-base-nli-mean-tokens,8,6,1.00E-04,
distilbert-base-nli-mean-tokens,16,6,1.00E-04,
distilbert-base-nli-mean-tokens,32,6,1.00E-04,
distilbert-base-nli-mean-tokens,64,6,1.00E-04,
distilbert-base-nli-mean-tokens,1,7,1.00E-04,
distilbert-base-nli-mean-tokens,2,7,1.00E-04,
distilbert-base-nli-mean-tokens,4,7,1.00E-04,
distilbert-base-nli-mean-tokens,8,7,1.00E-04,
distilbert-base-nli-mean-tokens,16,7,1.00E-04,
distilbert-base-nli-mean-tokens,32,7,1.00E-04,
distilbert-base-nli-mean-tokens,64,7,1.00E-04,
distilbert-base-nli-mean-tokens,1,8,1.00E-04,
distilbert-base-nli-mean-tokens,2,8,1.00E-04,
distilbert-base-nli-mean-tokens,4,8,1.00E-04,
distilbert-base-nli-mean-tokens,8,8,1.00E-04,
distilbert-base-nli-mean-tokens,16,8,1.00E-04,
distilbert-base-nli-mean-tokens,32,8,1.00E-04,
distilbert-base-nli-mean-tokens,64,8,1.00E-04,
distilbert-base-nli-mean-tokens,1,9,1.00E-04,
distilbert-base-nli-mean-tokens,2,9,1.00E-04,
distilbert-base-nli-mean-tokens,4,9,1.00E-04,
distilbert-base-nli-mean-tokens,8,9,1.00E-04,
distilbert-base-nli-mean-tokens,16,9,1.00E-04,
distilbert-base-nli-mean-tokens,32,9,1.00E-04,
distilbert-base-nli-mean-tokens,64,9,1.00E-04,
distilbert-base-nli-mean-tokens,1,1,1.00E-05,
distilbert-base-nli-mean-tokens,2,1,1.00E-05,
distilbert-base-nli-mean-tokens,4,1,1.00E-05,
distilbert-base-nli-mean-tokens,8,1,1.00E-05,
distilbert-base-nli-mean-tokens,16,1,1.00E-05,
distilbert-base-nli-mean-tokens,32,1,1.00E-05,
distilbert-base-nli-mean-tokens,64,1,1.00E-05,
distilbert-base-nli-mean-tokens,1,2,1.00E-05,
distilbert-base-nli-mean-tokens,2,2,1.00E-05,
distilbert-base-nli-mean-tokens,4,2,1.00E-05,
distilbert-base-nli-mean-tokens,8,2,1.00E-05,
distilbert-base-nli-mean-tokens,16,2,1.00E-05,
distilbert-base-nli-mean-tokens,32,2,1.00E-05,
distilbert-base-nli-mean-tokens,64,2,1.00E-05,
distilbert-base-nli-mean-tokens,1,3,1.00E-05,
distilbert-base-nli-mean-tokens,2,3,1.00E-05,
distilbert-base-nli-mean-tokens,4,3,1.00E-05,
distilbert-base-nli-mean-tokens,8,3,1.00E-05,
distilbert-base-nli-mean-tokens,16,3,1.00E-05,
distilbert-base-nli-mean-tokens,32,3,1.00E-05,
distilbert-base-nli-mean-tokens,64,3,1.00E-05,
distilbert-base-nli-mean-tokens,1,4,1.00E-05,
distilbert-base-nli-mean-tokens,2,4,1.00E-05,
distilbert-base-nli-mean-tokens,4,4,1.00E-05,
distilbert-base-nli-mean-tokens,8,4,1.00E-05,
